Title,Link,Description,Publish Date,Location,Restaurant Visited
Dining at Norway’s NO.1 Restaurant (€389) - Maaemo,https://www.youtube.com/watch?v=4ql-5UptQ2k,"Join Alexander as he dines at Maaemo, Norway's top restaurant, renowned for its focus on New Nordic Cuisine using only organic, biodynamic, or wild produce. Located in Oslo under head chef Esben Holmboe Bang, Maaemo boasts a rich history including regaining three Michelin stars in 2021 after a brief closure and relocation.",8/2/23,"Oslo, Norway",Maaemo
320€ MENU in Berlin's only 3 MICHELIN STAR Restaurant - Rutz (Germany),https://www.youtube.com/watch?v=HtVhJTU4Be8,"Join Alexander in exploring Berlin, a hub of innovation and culture, as he visits Germany for the first time on his channel. In this episode, Alexander experiences the exquisite cuisine of Rutz, a restaurant that has evolved impressively under the leadership of head chef Marco Muller, achieving its third Michelin star in 2020. Discover the luxurious 'Nature and Aroma' tasting menu, priced between 300€ to 320€. Dive into the world of high dining with insights from a Michelin star co-owner who loves sharing his gastronomic journey.",7/24/23,"Berlin, Germany",Rutz
I found an EXTREME RESTAURANT in the Norwegian fjords - Iris Restaurant,https://www.youtube.com/watch?v=gh1iVEDisD0,"This video introduces Iris, a unique restaurant located within a spectacular floating orb called the Salmon Eye in Hardangerfjord, Norway. The location is also hailed as the world’s largest floating art installation, offering breathtaking views reminiscent of the 2022 film ""The Menu."" Chef Anika Madsen leads the culinary team, emphasizing sustainable ocean-sourced ingredients, as detailed on their website https://www.restaurantiris.no. Alexander, the host and co-owner of a Michelin-starred restaurant, shares this adventure on his Instagram (https://www.instagram.com/alexandertheguest) as part of his mission to explore and share inspiring gastronomic experiences.",7/17/23,"Hardangerfjord, Norway",Iris Restaurant
Critiquing MY OWN MICHELIN STAR Restaurant - 42 Restaurant,https://www.youtube.com/watch?v=JN7PHoTyCmE,"In this video, Alexander, co-owner of the one Michelin star Restaurant 42, experiences dining as a guest in his restaurant located in Esztergom, Hungary. He shares his objective views and insights while enjoying a meal prepared by his team. The restaurant’s address is 2500 Esztergom, Széchenyi tér 23, and more information can be found on their website www.42restaurant.hu or their Instagram page @42restaurant.",7/10/23,"Esztergom, Hungary",Restaurant 42
"THE WORLD’S NO.1 Restaurant in 2023 - Central, Peru (Virgilio Martínez)",https://www.youtube.com/watch?v=U6z2s0IzJcU,"This video showcases Alexander's visit to Central, the top-ranked restaurant in the world for 2023, according to The World’s 50 Best Restaurants list. Located in Lima, Peru, Central is led by head chefs Virgilio Martínez and his wife, Pia. Beyond a mere restaurant review, Alexander aims to share the rich Peruvian culture and culinary inspirations behind Central. He also provides social media links for further engagement and insight into his gastronomic journey.",6/20/23,"Lima, Peru",Central
I ate a €400 menu at an Asian 3 Michelin Star Restaurant - Zén (Singapore),https://www.youtube.com/watch?v=SneEz9TFfAw,"In this video, Alexander visits his first Asian 3 Michelin star restaurant, Zén, located in Singapore. The restaurant, which serves a 9-course tasting menu for €400, was opened by Chef Björn Frantzén with Executive Chef Tristan Farmer at the helm. This culinary adventure offers an inside look at their exquisite dishes and the exceptional dining experience provided at Zén.",6/11/23,Singapore,Z�n
"The PERFECT Restaurant Experience - Plénitude (Cheval Blanc, Paris)",https://www.youtube.com/watch?v=mm5DIoPvkJE,"Discover Plénitude, a remarkable restaurant in Paris, which received three Michelin stars in its debut year. Led by Chef Arnaud Donckele, Plénitude places an exceptional focus on sauces, elevating them in French cuisine. Alexander, a co-owner of a one Michelin star restaurant and an aficionado of fine dining and wine, recounts his flawless experience at Plénitude. Join him on his culinary adventures on Instagram or check out his own restaurant online.",5/19/23,Paris,Pl�nitude (Cheval Blanc)
The BEST Restaurant in Champagne - L'Assiette Champenoise (3 Michelin Star),https://www.youtube.com/watch?v=IZCfyOcYjM4,"Visit one of the most significant places globally, the unique province of champagne. Located in Reims is the restaurant L'Assiette Champenoise, established in 1975 by Jean-Pierre Lallement and his wife Colette, and boasting 3 Michelin Stars since 2014. Experience the 6-course Emotion menu costing 355 euros, starting off with a memorable dish so exquisite that it gives you goosebumps.",5/12/23,Reims,L'Assiette Champenoise
One of the MOST AFFORDABLE 3 Michelin Star Restaurants - Core By Clare Smyth,https://www.youtube.com/watch?v=NFycW5xTP9U,"Join Alexander the guest, co-owner of a Michelin star restaurant, as he explores Core by Clare Smyth, one of the most affordable 3 Michelin star dining experiences in Notting Hill. Clare Smyth, the first female chef in the UK to run a restaurant of this acclaim, offers two tasting menus: the Classic Tasting Menu at £195 and the Core Seasons menu at £215. Along the journey, Alexander shares his passion for fine dining and good wine through his Instagram @alexandertheguest.",4/28/23,Notting Hill,Core by Clare Smyth
Is Gordon Ramsay still relevant? - Restaurant Gordon Ramsay,https://www.youtube.com/watch?v=15xWtHvgquA,"Join Alexander, a one Michelin-starred restaurant co-owner, as he visits Restaurant Gordon Ramsay in Chelsea, West London. This flagship restaurant is among the world’s most acclaimed, and Alexander’s quest for gastronomic inspiration takes him here to explore fine dining and share his experiences.",4/21/23,"Chelsea, West London",Restaurant Gordon Ramsay
"This is how ""Submarine Wine"" was born.",https://www.youtube.com/watch?v=vq5cfW0w-3E,"On my visit to Mirazur, I had a chance to taste two Drappier champagnes from 2008: one aged in the cellar and the other aged at the bottom of the sea.",4/17/23,Mirazur Restaurant,Mirazur
"I travelled 4,354 miles for this Restaurant - Eleven Madison Park",https://www.youtube.com/watch?v=gh-0fA55DM8,"Join Alexander on his journey to New York City's Manhattan, where he visits Eleven Madison Park, one of the world's most prestigious restaurants. Originally led by Swiss chef Daniel Humm, this restaurant transformed under his guidance, achieving its first Michelin star in 2010 and reaching three stars by 2012. It was ranked the top restaurant in 2017 on the world's 50 best restaurants list. Post-pandemic, Humm reinvented the menu to be entirely plant-based, marking Eleven Madison Park as the first vegan restaurant to hold three Michelin stars.",4/14/23,"New York City, Manhattan",Eleven Madison Park
DISAPPOINTING Visit to a 3 Michelin Star Restaurant - Sketch,https://www.youtube.com/watch?v=AdNt-KTXado,"Alexander, co-owner of a Michelin star restaurant, visits London to find inspiration in gastronomy at the Sketch, which houses four different restaurants. The ""Lecture Room and Library"" managed by renowned chef Pierre Gagnaire, is their fine dining establishment.",3/24/23,"London, England",Sketch - The Lecture Room and Library
"Gucci Osteria - Restaurant by Gucci and Massimo Bottura in Florence, Italy",https://www.youtube.com/watch?v=FomQSFmpsjY,A restaurant in Florence by Gucci creative director Alessandro Michele and chef Massimo Bottura.,3/20/23,"Florence, Italy",Gucci Osteria
No. 1 Restaurant in 2016 and 2018. How about now? - Osteria Francescana (Massimo Bottura),https://www.youtube.com/watch?v=NMmUM18EKEs,"Alexander, co-owner of a Michelin-starred restaurant, explores the world of fine dining to find gastronomic inspiration. He admires Massimo Bottura, an influential figure who revamped traditional Italian cuisine with his restaurant, Osteria Francescana.",45002,Modena,Osteria Francescana
Can you guess the location?,https://www.youtube.com/watch?v=iBae65_FODM,"Cloud 22 is the rooftop bar on the 22nd floor at Atlantis, The Royal.",20230316,Dubai,Atlantis The Royal
'The Sound of the Sea' course is Heston Blumenthal's signature dish at the Fat Duck.,https://www.youtube.com/watch?v=jrR2SNOxGVI,"The new episode is out now. In this video we’re heading to England to check out Heston Blumenthal’s 3 Michelin star restaurant, The Fat Duck.",20230311,England,The Fat Duck
Trésind is considered one of the best Indian fine dining restaurants in Dubai. #michelinstar,https://www.youtube.com/watch?v=NXro-2NRuaw,,###############################################################################################################################################################################################################################################################,Dubai,Tr�sind
"This was our lunch at Zuma, Dubai.",https://www.youtube.com/watch?v=vvYc4NLZhPo,"Check out our amazing lunch experience at Zuma, Dubai, a top-notch restaurant right near the architectural wonder, Burj Khalifa. Dive into this video for a glimpse of our splendid meal and the luxurious surroundings that Zuma offers.",3/7/23,Dubai,Zuma
We are off to a 3 Michelin star restaurant called Da Vittorio.,https://www.youtube.com/watch?v=0STwPhjY_qo,"Today, we are off to the Lombardy region of Italy, to a restaurant called Da Vittorio.
They offered the seasonal white truffle menu, where everything is built around this single ingredient.",3/3/23,"Lombardy region, Italy",Da Vittorio
"Inside the world's first Nobu by the Beach club at Atlantis The Royal, Dubai",https://www.youtube.com/watch?v=I8tGwFMT7HA,"Global culinary icon Nobu is expanding its presence as ‘Nobu by the Beach’ at the new Atlantis The Royal luxury resort. The concept was interesting, the service was friendly and the environment was simply amazing.",2/28/23,Dubai,Nobu by the Beach
This is what the menu looks like at the number 1 restaurant in the world for 430 euros.,https://www.youtube.com/watch?v=dkBh3eWDxeA,"Geranium is located in Copenhagen, but not where you might expect a 3-Michelin star restaurant to be. It’s not on the high street, it’s not in a trendy neighbourhood, nor a 5 star hotel. It’s actually in a football stadium!",20230227,Copenhagen,Geranium
Eating the 430€ Menu at the WORLD’S NO. 1 RESTAURANT (2022) - Geranium,https://www.youtube.com/watch?v=c2RKdhmpf8A,"The video features Alexander, a Michelin star co-owner, seeking inspiration in gastronomy. He visits the Geranium restaurant, located uniquely in a Copenhagen football stadium, led by chef Rasmus Kofoed. This restaurant, crowned with three Michelin stars and top accolades, offers a glimpse into the pinnacle of fine dining.",44984,Copenhagen,Geranium
Proudest moment of 2022,https://www.youtube.com/watch?v=7JjPOMfrCeM,"Our beloved 42 Restaurant in Esztergom officially received a Michelin star. We have a long way to go, but this is by no means the end of the road.
#gastro #gastronomy #finedining #michelinguide #michelinstar #michelinstarchef #michelinstars",20230221,Esztergom,42 Restauran
The Hottest 3 Michelin Star Restaurant In Marseille - AM Par Alexandre Mazzia (€335),https://www.youtube.com/watch?v=HrRRZxBZGik,"The video describes an extraordinary culinary journey at AM par Alexandre Mazzia, a 3-Michelin-star restaurant in Marseille. Alexandre Mazzia is praised as a master of various cooking techniques and flavors, blending French sophistication with Congolese influences. The restaurant, opened in 2014, has quickly ascended the Michelin ranks, achieving its third star in 2021. The video raises the question of whether this esteemed dining experience is worth a special trip.",2/20/23,"Marseille, France",AM par Alexandre Mazzia
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,AL MUNTAHA
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,STAY BY YANNICK ALL�NO
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,ARMANI RISTORANTE
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,DINNER BY HESTON
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,ORFALI BROS
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,ROW ON 45
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,H_SEKI
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,SMOKED ROOM
I Ate at EVERY MICHELIN Starred Restaurant in DUBAI,https://www.youtube.com/watch?v=CHwWZi_CP2Y,"Here it is. Our biggest video ever.
I ate at every Michelin starred restaurant in Dubai.
17 restaurants. Countless flavors. A lot of surprises.
Dubai’s fine dining scene like you’ve never seen it.

Chapters:

00:00 - 00:47 - INTRO
00:48 - 03:11 - AL MUNTAHA
03:12 - 06:39 - STAY BY YANNICK ALLÉNO
06:40 - 08:32 - ARMANI RISTORANTE
08:33 - 10:15 - DINNER BY HESTON
10:16 - 12:45 - ORFALI BROS
12:46 - 14:54 - ROW ON 45
14:55 - 17:02 - HŌSEKI
17:03 - 19:10 - SMOKED ROOM
19:11 - 21:10 - 11 WOODFIRE
21:11 - 23:37 - LA DAME DE PIC
23:38 - 25:30 - MOONRISE
25:31 - 28:44 - OSSIANO 
28:45 - 30:25 - HAKKASAN
30:26 - 32:15 - AVATĀRA
32:16 - 33:54 - IL RISTORANTE NIKO ROMITO 
33:55 - 36:42 - TRÈSIND STUDIO
36:43 - 39:47 - TASCA BY JOSÉ AVILLEZ
39:48 - 43:25 - MY HONEST OPINION

---------------------------------------------------------------------------------

Follow my journey on instagram: https://www.instagram.com/alexandertheguest

My name is Alexander. I’m the co-owner of a ONE Michelin star restaurant, and I’m on a mission - to find inspiration in gastronomy. I love fine dining, good wine and sharing what I know with other people.
---------------------------------------------------------------------------------

Check out my Michelin Starred restaurant: 
https://www.instagram.com/42restaurant/

Tags:
I ATE at EVERY MICHELIN Starred Restaurant in DUBAI
row on 45,il ristorante – niko romito,stay by yannick alleno,tresind studio,11 woodfire,al muntaha,armani ristorante,avatara,dinner by heston blumenthal,hakkasan,hoseki,la dame de pic,moonrise,orfali bros,ossiano,smoked room,tasca by jose avillez",###############################################################################################################################################################################################################################################################,Dubai,11 WOODFIRE
